Entry_Name,Gene_Ontology_IDs
DPOG1_DROME,GO:0000001; GO:0000166; GO:0003677; GO:0003887; GO:0005739; GO:0005759; GO:0005760; GO:0006261; GO:0006264; GO:0008296; GO:0008408; GO:0030382; GO:0042645; GO:0045004
LARP_DROME,GO:0000001; GO:0003723; GO:0005737; GO:0005739; GO:0005829; GO:0007053; GO:0007140; GO:0010494; GO:0031315; GO:0035186; GO:0045727; GO:0090297; GO:2000767
SSBP_DROME,GO:0000002; GO:0000262; GO:0003697; GO:0005739; GO:0006264; GO:0006268; GO:0009295; GO:0042645; GO:0051096; GO:0090297; GO:0090592; GO:1900264; GO:1902394
PIF1_XENLA,GO:0000002; GO:0000723; GO:0003677; GO:0005524; GO:0005634; GO:0005739; GO:0006281; GO:0006310; GO:0016887; GO:0043139
PIF1_XENLA,GO:0000002; GO:0000723; GO:0003677; GO:0005524; GO:0005634; GO:0005739; GO:0006281; GO:0006310; GO:0016887; GO:0043139
TYPH_HUMAN,GO:0000002; GO:0001525; GO:0004645; GO:0005829; GO:0006206; GO:0006213; GO:0006935; GO:0008083; GO:0009032; GO:0016154; GO:0030154; GO:0031641; GO:0042803; GO:0046074; GO:0051969; GO:1905333
PEO1_DROME,GO:0000002; GO:0003678; GO:0003690; GO:0003697; GO:0005524; GO:0005739; GO:0006264; GO:0016787; GO:0042645; GO:0043139; GO:0046872; GO:0051537
DPOG2_DROME,GO:0000002; GO:0003727; GO:0005737; GO:0005739; GO:0005759; GO:0005760; GO:0006261; GO:0006264; GO:0006281; GO:0030337; GO:0071667; GO:1900264
RM17_MOUSE,GO:0000002; GO:0003735; GO:0005739; GO:0005743; GO:0005762; GO:0006412; GO:0015934; GO:0019904; GO:0032543
RIM2_DROME,GO:0000002; GO:0005739; GO:0005743; GO:0006390; GO:0006839; GO:0007005; GO:0015218; GO:0016021; GO:0030302; GO:0040011; GO:0045333; GO:0048311; GO:1990519
RIM2_DROME,GO:0000002; GO:0005739; GO:0005743; GO:0006390; GO:0006839; GO:0007005; GO:0015218; GO:0016021; GO:0030302; GO:0040011; GO:0045333; GO:0048311; GO:1990519
MGME1_MOUSE,GO:0000002; GO:0005739; GO:0006264; GO:0008297; GO:0043504
MIG15_CAEEL,GO:0000003; GO:0000165; GO:0002119; GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0010171; GO:0030334; GO:0032228; GO:0033563; GO:0035556; GO:0043408; GO:0048812; GO:0106310
DCR1_CAEEL,GO:0000003; GO:0000737; GO:0002119; GO:0003677; GO:0003723; GO:0004386; GO:0004525; GO:0004530; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006309; GO:0006364; GO:0006401; GO:0008355; GO:0016442; GO:0030422; GO:0031054; GO:0034470; GO:0035262; GO:0040034; GO:0046872; GO:0050830; GO:0090501; GO:2000636
LIN9_HUMAN,GO:0000003; GO:0003677; GO:0005654; GO:0006351; GO:0006357; GO:0007049; GO:0017053; GO:0051726; GO:0071897
LIN9_DANRE,GO:0000003; GO:0003677; GO:0005654; GO:0006351; GO:0006357; GO:0017053; GO:0051726
ALG12_DROME,GO:0000009; GO:0000030; GO:0005788; GO:0005789; GO:0006486; GO:0006487; GO:0006488; GO:0016021; GO:0052917
PIGV_DROPS,GO:0000009; GO:0004376; GO:0005789; GO:0006506; GO:0016021; GO:0045052; GO:0045313
DLP1_MOUSE,GO:0000010; GO:0004659; GO:0005739; GO:0005829; GO:0006744; GO:0008299; GO:0021549; GO:0046982; GO:0050347; GO:0050878; GO:0097269; GO:1990234
DPS1_HUMAN,GO:0000010; GO:0004659; GO:0005759; GO:0006744; GO:0008299; GO:0046872; GO:0046982; GO:0050347; GO:0097269; GO:1990234
ERCC6_HUMAN,GO:0000012; GO:0000077; GO:0000303; GO:0003677; GO:0003682; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0006281; GO:0006283; GO:0006284; GO:0006290; GO:0006338; GO:0006362; GO:0006366; GO:0006979; GO:0007254; GO:0008022; GO:0008023; GO:0008094; GO:0008630; GO:0009411; GO:0009636; GO:0010165; GO:0010224; GO:0010332; GO:0016887; GO:0022008; GO:0030182; GO:0030296; GO:0031175; GO:0032784; GO:0032786; GO:0034243; GO:0035066; GO:0035264; GO:0042262; GO:0044877; GO:0045494; GO:0045739; GO:0045943; GO:0045944; GO:0045945; GO:0047485; GO:0060261; GO:0070063; GO:0090734; GO:0097680; GO:0110016; GO:0140658; GO:1905168; GO:2001033
