transcript,Gene Ontology IDs
TRINITY_GG_6033_c0_g2_i1.p1,GO:0000002; GO:0005739; GO:0006264; GO:0008297; GO:0043504
TRINITY_GG_13224_c18_g1_i1.p1,GO:0000015; GO:0000287; GO:0004634; GO:0005737; GO:0005886; GO:0006096; GO:0042593; GO:0061621
TRINITY_GG_13651_c15_g1_i1.p1,GO:0000027; GO:0000049; GO:0002181; GO:0003723; GO:0003729; GO:0003735; GO:0005634; GO:0005791; GO:0014069; GO:0022625; GO:0022626; GO:0031672; GO:0036464; GO:0042788; GO:0045202; GO:1990932
TRINITY_GG_20173_c1_g1_i2.p1,GO:0000027; GO:0000055; GO:0000447; GO:0000794; GO:0002244; GO:0005654; GO:0005730; GO:0005783; GO:0007080; GO:0008097; GO:0030687; GO:0042273; GO:1901796; GO:1902570
TRINITY_GG_21014_c8_g1_i1.p1,GO:0000027; GO:0003735; GO:0005634; GO:0006412; GO:0019843; GO:0022625; GO:1904841
TRINITY_GG_10315_c7_g1_i9.p3,GO:0000028; GO:0005525; GO:0005743; GO:0005759; GO:0005829; GO:0019843; GO:0043024
TRINITY_GG_8290_c0_g1_i1.p1,GO:0000030; GO:0004169; GO:0005783; GO:0005789; GO:0016021; GO:0035269; GO:0055074
TRINITY_GG_7614_c1_g1_i3.p1,GO:0000030; GO:0004169; GO:0005783; GO:0016021; GO:0035269
TRINITY_GG_7495_c40_g1_i1.p1,GO:0000045; GO:0000139; GO:0003924; GO:0005525; GO:0005768; GO:0005794; GO:0005796; GO:0006891; GO:0015031; GO:0017157; GO:0032482; GO:0034067; GO:0048705; GO:1903358; GO:1903434; GO:2000156
TRINITY_GG_15235_c6_g1_i2.p1,GO:0000045; GO:0000407; GO:0000421; GO:0000422; GO:0001889; GO:0001934; GO:0005764; GO:0005789; GO:0005829; GO:0006468; GO:0006914; GO:0007049; GO:0007507; GO:0008285; GO:0010508; GO:0019898; GO:0019901; GO:0030242; GO:0031965; GO:0034045; GO:0034727; GO:0045793; GO:0046330; GO:0046777; GO:0060090; GO:0061709; GO:0061723; GO:0097191; GO:1903059; GO:1990316; GO:2001237
TRINITY_GG_13158_c4_g1_i1.p1,GO:0000045; GO:0000407; GO:0000422; GO:0005829; GO:0006497; GO:0009267; GO:0019898; GO:0032266; GO:0034045; GO:0034497; GO:0044804; GO:0080025; GO:1901981; GO:2000786
TRINITY_GG_5844_c9_g1_i1.p1,GO:0000045; GO:0000407; GO:0006897; GO:0006914; GO:0006979; GO:0006995; GO:0009267; GO:0009306; GO:0016322; GO:0030097; GO:0031267; GO:0032465; GO:0034271; GO:0034272; GO:0035096; GO:0045324; GO:0045824; GO:0050829; GO:0061723
TRINITY_GG_17041_c11_g2_i4.p1,GO:0000049; GO:0002098; GO:0002143; GO:0005829; GO:0016779; GO:0016783; GO:0032447; GO:0034227
TRINITY_GG_14030_c2_g1_i5.p2,GO:0000049; GO:0002098; GO:0005506; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006974; GO:0008270; GO:0016300; GO:0016604; GO:0016706; GO:0030488; GO:0106335
