transcript	zeroOne	annot.x	pident.x	length.x	mismatch	gapopen.x	qstart.x	qend.x	sstart.x	send.x	evalue.x	bitscore.x	annot.y	pident.y	length.y	mismach	gapopen.y	qstart.y	qend.y	sstart.y	send.y	evalue.y	bitscore.y
TRINITY_GG_10004_c5_g1_i1.p1	1	sp|P05408|7B2_HUMAN	43.9	98	45	3	102	190	59	155	1.03E-11	66.2	sp|P05408|7B2_HUMAN	43.9	98	45	3	59	155	102	190	8.12E-13	65.1
TRINITY_GG_10004_c8_g1_i1.p1	1	sp|O73755|GREM1_CHICK	40.8	103	47	1	217	319	90	178	3.01E-19	87	sp|O73755|GREM1_CHICK	40.8	103	47	1	90	178	217	319	9.84E-22	89.4
TRINITY_GG_10006_c23_g1_i3.p1	1	sp|Q9R1C7|PR40A_MOUSE	49.5	687	281	9	121	767	143	803	7.05E-148	464	sp|Q9R1C7|PR40A_MOUSE	49.7	680	300	9	138	803	116	767	1.17E-148	463
TRINITY_GG_10006_c24_g1_i2.p1	1	sp|P62882|GNB5_RAT	63.9	357	123	2	1	355	1	353	8.36E-139	401	sp|P62882|GNB5_RAT	65.1	344	118	1	10	353	14	355	9.72E-140	400
TRINITY_GG_10006_c28_g1_i2.p1	1	sp|Q9V3C5|RIC1_DROME	43.4	1378	624	27	1	1330	1	1270	0	1043	sp|Q9V3C5|RIC1_DROME	43.9	1380	614	31	1	1270	1	1330	0	1039
TRINITY_GG_10007_c10_g1_i1.p1	1	sp|P35381|ATPA_DROME	85.7	551	78	1	1	550	1	551	0	910	sp|P35381|ATPA_DROME	85.7	551	78	1	1	551	1	550	0	913
TRINITY_GG_10007_c31_g1_i2.p1	1	sp|B4ZIX8|SCC4_XENLA	64.3	596	206	4	2	593	14	606	5.66E-268	748	sp|B4ZIX8|SCC4_XENLA	64.3	596	206	4	14	606	2	593	1.37E-268	746
TRINITY_GG_10007_c31_g1_i2.p2	1	sp|Q7PRB5|OPI10_ANOGA	54.8	197	82	3	3	194	6	200	8.40E-74	224	sp|Q7PRB5|OPI10_ANOGA	54.8	197	82	3	6	200	3	194	1.92E-72	217
TRINITY_GG_10007_c32_g1_i11.p2	1	sp|Q5XTS1|PLPL8_RABIT	45.7	219	115	3	10	226	565	781	1.65E-56	194	sp|Q5XTS1|PLPL8_RABIT	45.7	219	115	3	565	781	10	226	1.65E-56	192
TRINITY_GG_10010_c2_g1_i2.p1	1	sp|Q5ZHM5|RER1_CHICK	64.8	196	66	2	1	193	1	196	2.01E-87	258	sp|Q5ZHM5|RER1_CHICK	64.8	196	66	2	1	196	1	193	1.95E-87	254
TRINITY_GG_10014_c9_g3_i3.p1	1	sp|Q9VS24|MELT_DROME	50	1013	369	28	1	904	1	985	7.22E-277	798	sp|Q9VS24|MELT_DROME	49.9	1003	386	24	1	985	1	904	1.25E-280	805
TRINITY_GG_10016_c1_g1_i1.p1	1	sp|O42587|PR6AA_XENLA	85.1	422	61	2	10	430	3	423	4.24E-253	696	sp|O42587|PR6AA_XENLA	85.1	422	61	2	3	423	10	430	8.10E-253	692
TRINITY_GG_10017_c1_g1_i1.p1	1	sp|Q8JG54|RGMA_CHICK	35.7	387	193	11	75	423	34	402	1.56E-58	201	sp|Q8JG54|RGMA_CHICK	35.2	401	204	11	34	416	75	437	1.30E-63	211
TRINITY_GG_10018_c3_g2_i1.p1	1	sp|Q6PUR6|GPN2_DANRE	58	281	117	1	2	282	8	287	1.91E-118	345	sp|Q6PUR6|GPN2_DANRE	58	281	117	1	8	287	2	282	2.06E-120	347
TRINITY_GG_10018_c3_g2_i1.p2	1	sp|A7SP74|PSMG3_NEMVE	30.8	107	65	3	22	119	16	122	1.19E-07	50.4	sp|A7SP74|PSMG3_NEMVE	30.8	107	65	3	16	122	22	119	4.83E-10	53.1
TRINITY_GG_10020_c4_g1_i1.p1	1	sp|P16568|BICD_DROME	58.6	769	284	6	13	771	14	758	8.47E-216	630	sp|P16568|BICD_DROME	58.5	772	286	6	14	761	13	774	3.43E-217	630
TRINITY_GG_10021_c0_g2_i1.p1	1	sp|Q2KJ56|HOME1_BOVIN	74.6	114	29	0	25	138	3	116	2.62E-49	176	sp|Q2KJ56|HOME1_BOVIN	73.9	115	30	0	3	117	25	139	7.69E-51	176
