transcript	zeroOne	annot.x	pident.x	length.x	mismatch.x	gapopen.x	qstart.x	qend.x	sstart.x	send.x	evalue.x	bitscore.x	annot.y	pident.y	length.y	mismatch.y	gapopen.y	qstart.y	qend.y	sstart.y	send.y	evalue.y	bitscore.y
TRINITY_GG_10003_c10_g1_i2.p1	1	sp|Q9R1S3|PIGN_MOUSE	42.7	936	506	9	6	932	7	921	1.02E-226	670	sp|Q9R1S3|PIGN_MOUSE	42.9	931	502	9	7	916	6	927	6.35E-224	659
TRINITY_GG_10003_c10_g1_i2.p2	1	sp|Q16HE8|NKD_AEDAE	69.4	85	25	1	117	200	3	87	1.02E-25	115	sp|Q16HE8|NKD_AEDAE	69.4	85	25	1	3	87	117	200	3.97E-27	115
TRINITY_GG_10003_c11_g1_i1.p1	1	sp|P54733|CCNE_DROME	42.3	362	176	6	116	466	319	658	1.05E-83	275	sp|P54733|CCNE_DROME	42.3	362	176	6	319	658	116	466	4.32E-86	278
TRINITY_GG_10006_c2_g1_i1.p1	1	sp|Q16983|DIHR_ACHDO	70.3	411	114	3	18	427	32	435	1.09E-201	570	sp|Q16983|DIHR_ACHDO	70.3	411	114	3	32	435	18	427	4.45E-202	568
TRINITY_GG_10014_c6_g1_i1.p1	1	sp|Q9Y399|RT02_HUMAN	61.9	84	32	0	51	134	67	150	3.10E-29	110	sp|Q9Y399|RT02_HUMAN	61.9	84	32	0	67	150	51	134	1.88E-30	111
TRINITY_GG_10014_c8_g1_i1.p1	1	sp|Q8R0H9|GGA1_MOUSE	36.3	731	327	15	7	710	9	627	2.29E-116	366	sp|Q8R0H9|GGA1_MOUSE	36.4	731	326	15	9	627	7	710	1.51E-114	358
TRINITY_GG_10014_c8_g1_i1.p2	1	sp|A5PK43|ERAL1_BOVIN	40.1	257	143	2	30	275	112	368	1.87E-59	199	sp|A5PK43|ERAL1_BOVIN	38.4	268	154	2	112	379	30	286	6.14E-60	197
TRINITY_GG_10014_c9_g1_i9.p1	1	sp|Q9Y573|IPP_HUMAN	39.8	342	195	3	43	375	14	353	1.67E-72	246	sp|Q9Y573|IPP_HUMAN	39.8	342	195	3	14	353	43	375	5.01E-72	241
TRINITY_GG_10014_c9_g2_i2.p2	1	sp|Q5EBP3|ARMC5_MOUSE	44	75	42	0	61	135	123	197	1.81E-10	63.5	sp|Q5EBP3|ARMC5_MOUSE	44	75	42	0	123	197	61	135	3.77E-12	66.2
TRINITY_GG_10015_c22_g1_i3.p1	1	sp|Q0P457|KTI12_DANRE	47.6	208	105	1	1	208	1	204	7.68E-68	212	sp|Q0P457|KTI12_DANRE	47.6	208	105	1	1	204	1	208	3.62E-70	214
