transcript,Gene Ontology IDs
TRINITY_GG_10045_c48_g1_i1.p1,GO:0000001; GO:0000166; GO:0003677; GO:0003887; GO:0005739; GO:0005759; GO:0005760; GO:0006261; GO:0006264; GO:0008296; GO:0008408; GO:0030382; GO:0042645; GO:0045004
TRINITY_GG_12805_c4_g1_i2.p3,GO:0000002; GO:0000262; GO:0003697; GO:0005739; GO:0006264; GO:0006268; GO:0009295; GO:0042645; GO:0051096; GO:0090297; GO:0090592; GO:1900264; GO:1902394
TRINITY_GG_7403_c25_g1_i3.p1,GO:0000002; GO:0000723; GO:0003677; GO:0005524; GO:0005634; GO:0005739; GO:0006281; GO:0006310; GO:0016887; GO:0043139
TRINITY_GG_6075_c15_g1_i1.p1,GO:0000002; GO:0001525; GO:0004645; GO:0005829; GO:0006206; GO:0006213; GO:0006935; GO:0008083; GO:0009032; GO:0016154; GO:0030154; GO:0031641; GO:0042803; GO:0046074; GO:0051969; GO:1905333
TRINITY_GG_9748_c20_g1_i8.p1,GO:0000002; GO:0003678; GO:0003690; GO:0003697; GO:0005524; GO:0005739; GO:0006264; GO:0016787; GO:0042645; GO:0043139; GO:0046872; GO:0051537
TRINITY_GG_12718_c10_g1_i5.p1,GO:0000002; GO:0003727; GO:0005737; GO:0005739; GO:0005759; GO:0005760; GO:0006261; GO:0006264; GO:0006281; GO:0030337; GO:0071667; GO:1900264
TRINITY_GG_9699_c2_g1_i1.p1,GO:0000002; GO:0003735; GO:0005739; GO:0005743; GO:0005762; GO:0006412; GO:0015934; GO:0019904; GO:0032543
TRINITY_GG_4858_c25_g1_i2.p2,GO:0000002; GO:0005739; GO:0005743; GO:0006390; GO:0006839; GO:0007005; GO:0015218; GO:0016021; GO:0030302; GO:0040011; GO:0045333; GO:0048311; GO:1990519
TRINITY_GG_5793_c0_g1_i1.p1,GO:0000002; GO:0005739; GO:0006264; GO:0008297; GO:0043504
TRINITY_GG_10515_c17_g1_i2.p2,GO:0000003; GO:0000165; GO:0002119; GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0010171; GO:0030334; GO:0032228; GO:0033563; GO:0035556; GO:0043408; GO:0048812; GO:0106310
TRINITY_GG_11294_c1_g1_i2.p1,GO:0000003; GO:0003677; GO:0005654; GO:0006351; GO:0006357; GO:0007049; GO:0017053; GO:0051726; GO:0071897
TRINITY_GG_12030_c59_g1_i1.p1,GO:0000009; GO:0000030; GO:0005788; GO:0005789; GO:0006486; GO:0006487; GO:0006488; GO:0016021; GO:0052917
TRINITY_GG_20150_c18_g1_i1.p1,GO:0000009; GO:0004376; GO:0005789; GO:0006506; GO:0016021; GO:0045052; GO:0045313
TRINITY_GG_7948_c21_g1_i1.p1,GO:0000010; GO:0004659; GO:0005739; GO:0005829; GO:0006744; GO:0008299; GO:0021549; GO:0046982; GO:0050347; GO:0050878; GO:0097269; GO:1990234
TRINITY_GG_7409_c34_g1_i3.p2,GO:0000010; GO:0004659; GO:0005759; GO:0006744; GO:0008299; GO:0046872; GO:0046982; GO:0050347; GO:0097269; GO:1990234
TRINITY_GG_15508_c1_g1_i2.p1,GO:0000012; GO:0000077; GO:0000303; GO:0003677; GO:0003682; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0006281; GO:0006283; GO:0006284; GO:0006290; GO:0006338; GO:0006362; GO:0006366; GO:0006979; GO:0007254; GO:0008022; GO:0008023; GO:0008094; GO:0008630; GO:0009411; GO:0009636; GO:0010165; GO:0010224; GO:0010332; GO:0016887; GO:0022008; GO:0030182; GO:0030296; GO:0031175; GO:0032784; GO:0032786; GO:0034243; GO:0035066; GO:0035264; GO:0042262; GO:0044877; GO:0045494; GO:0045739; GO:0045943; GO:0045944; GO:0045945; GO:0047485; GO:0060261; GO:0070063; GO:0090734; GO:0097680; GO:0110016; GO:0140658; GO:1905168; GO:2001033
TRINITY_GG_5633_c13_g1_i1.p1,GO:0000012; GO:0000109; GO:0000209; GO:0004842; GO:0005634; GO:0005737; GO:0006283; GO:0006974; GO:0006979; GO:0009411; GO:0010165; GO:0016363; GO:0031464; GO:0032991; GO:0043161; GO:0043204; GO:0044877; GO:0045739; GO:0051865; GO:0080008; GO:0090262; GO:0097680
TRINITY_GG_14306_c1_g1_i1.p1,GO:0000012; GO:0000775; GO:0000794; GO:0000796; GO:0003682; GO:0003697; GO:0005524; GO:0005634; GO:0005829; GO:0007076; GO:0010032; GO:0016607; GO:0016887; GO:0045132; GO:0051301; GO:0051383; GO:0051984; GO:1905820; GO:1905821
TRINITY_GG_9444_c17_g1_i7.p2,GO:0000012; GO:0000781; GO:0000785; GO:0001666; GO:0005634; GO:0005654; GO:0005730; GO:0006284; GO:0006303; GO:0009410; GO:0010033; GO:0010836; GO:0019899; GO:0021587; GO:0021766; GO:0032356; GO:0033194; GO:0050882; GO:0061819; GO:0070522; GO:1903518; GO:1904877; GO:1905765; GO:1990414; GO:1990599
TRINITY_GG_13010_c12_g1_i1.p1,GO:0000012; GO:0003690; GO:0003697; GO:0004527; GO:0005634; GO:0005737; GO:0006281; GO:0006302; GO:0007417; GO:0017005; GO:0045197
TRINITY_GG_13553_c0_g1_i1.p1,GO:0000012; GO:0003697; GO:0003725; GO:0005634; GO:0005654; GO:0005730; GO:0006302; GO:0030983; GO:0033699; GO:0046872; GO:0120108; GO:1990165
TRINITY_GG_12763_c4_g1_i7.p1,GO:0000014; GO:0000110; GO:0000712; GO:0000724; GO:0003684; GO:0003697; GO:0006289; GO:0006296; GO:0006298; GO:0006302; GO:0006310; GO:0006974; GO:0007131; GO:0007143; GO:0016321; GO:0030716; GO:0032991; GO:0045132; GO:0046982; GO:1901255
TRINITY_GG_24535_c2_g1_i1.p1,GO:0000014; GO:0000381; GO:0000956; GO:0001069; GO:0003231; GO:0003697; GO:0003723; GO:0003729; GO:0005634; GO:0005737; GO:0006397; GO:0008380; GO:0010467; GO:0010976; GO:0022008; GO:0032024; GO:0033119; GO:0035307; GO:0036002; GO:0043484; GO:0043565; GO:0044306; GO:0045595; GO:0045665; GO:0045727; GO:0045944; GO:0048025; GO:0051148; GO:0070886; GO:0070935; GO:0075522; GO:1904411
TRINITY_GG_15608_c20_g1_i1.p2,GO:0000014; GO:0000729; GO:0000737; GO:0000793; GO:0003677; GO:0003690; GO:0003697; GO:0004519; GO:0005634; GO:0005730; GO:0006303; GO:0006325; GO:0008270; GO:0008283; GO:0010452; GO:0015074; GO:0016571; GO:0031297; GO:0035861; GO:0042054; GO:0042800; GO:0042803; GO:0044547; GO:0044774; GO:0045892; GO:0046975; GO:0051568; GO:0090305; GO:0097676; GO:2000373; GO:2001034; GO:2001251
TRINITY_GG_21704_c35_g1_i2.p1,GO:0000014; GO:0000737; GO:0004519; GO:0004520; GO:0004521; GO:0005634; GO:0005739; GO:0005743; GO:0006309; GO:0006401; GO:0042803; GO:0043565; GO:0046872; GO:1990238
