Entry_Name,Gene Ontology IDs
LARP_DROME,GO:0000001; GO:0003723; GO:0005737; GO:0005739; GO:0005829; GO:0007053; GO:0007140; GO:0010494; GO:0031315; GO:0035186; GO:0045727; GO:0090297; GO:2000767
MGME1_MOUSE,GO:0000002; GO:0005739; GO:0006264; GO:0008297; GO:0043504
ENO_DROME,GO:0000015; GO:0000287; GO:0004634; GO:0005737; GO:0005886; GO:0006096; GO:0042593; GO:0061621
RL6_RAT,GO:0000027; GO:0000049; GO:0002181; GO:0003723; GO:0003729; GO:0003735; GO:0005634; GO:0005791; GO:0014069; GO:0022625; GO:0022626; GO:0031672; GO:0036464; GO:0042788; GO:0045202; GO:1990932
RRS1_MOUSE,GO:0000027; GO:0000055; GO:0000447; GO:0000794; GO:0002244; GO:0005654; GO:0005730; GO:0005783; GO:0007080; GO:0008097; GO:0030687; GO:0042273; GO:1901796; GO:1902570
RL23A_BOVIN,GO:0000027; GO:0003735; GO:0005634; GO:0006412; GO:0019843; GO:0022625; GO:1904841
ERAL1_BOVIN,GO:0000028; GO:0005525; GO:0005743; GO:0005759; GO:0005829; GO:0019843; GO:0043024
TMTC2_MOUSE,GO:0000030; GO:0004169; GO:0005783; GO:0005789; GO:0016021; GO:0035269; GO:0055074
TMTC3_DROME,GO:0000030; GO:0004169; GO:0005783; GO:0016021; GO:0035269
RB33B_CHICK,GO:0000045; GO:0000139; GO:0003924; GO:0005525; GO:0005768; GO:0005794; GO:0005796; GO:0006891; GO:0015031; GO:0017157; GO:0032482; GO:0034067; GO:0048705; GO:1903358; GO:1903434; GO:2000156
RBCC1_HUMAN,GO:0000045; GO:0000407; GO:0000421; GO:0000422; GO:0001889; GO:0001934; GO:0005764; GO:0005789; GO:0005829; GO:0006468; GO:0006914; GO:0007049; GO:0007507; GO:0008285; GO:0010508; GO:0019898; GO:0019901; GO:0030242; GO:0031965; GO:0034045; GO:0034727; GO:0045793; GO:0046330; GO:0046777; GO:0060090; GO:0061709; GO:0061723; GO:0097191; GO:1903059; GO:1990316; GO:2001237
WIPI4_DANRE,GO:0000045; GO:0000407; GO:0000422; GO:0005829; GO:0006497; GO:0009267; GO:0019898; GO:0032266; GO:0034045; GO:0034497; GO:0044804; GO:0080025; GO:1901981; GO:2000786
BECN1_DROME,GO:0000045; GO:0000407; GO:0006897; GO:0006914; GO:0006979; GO:0006995; GO:0009267; GO:0009306; GO:0016322; GO:0030097; GO:0031267; GO:0032465; GO:0034271; GO:0034272; GO:0035096; GO:0045324; GO:0045824; GO:0050829; GO:0061723
NSUN6_MOUSE,GO:0000049; GO:0001510; GO:0002946; GO:0005654; GO:0005737; GO:0016428; GO:0030488
NSUN6_MOUSE,GO:0000049; GO:0001510; GO:0002946; GO:0005654; GO:0005737; GO:0016428; GO:0030488
CTU2_XENTR,GO:0000049; GO:0002098; GO:0002143; GO:0005829; GO:0016779; GO:0016783; GO:0032447; GO:0034227
ALKB8_MOUSE,GO:0000049; GO:0002098; GO:0005506; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006974; GO:0008270; GO:0016300; GO:0016604; GO:0016706; GO:0030488; GO:0106335
ALKB8_MACFA,GO:0000049; GO:0002098; GO:0005506; GO:0005634; GO:0005829; GO:0006974; GO:0008270; GO:0016300; GO:0016706; GO:0030488; GO:0106335
TYW5_DANRE,GO:0000049; GO:0005506; GO:0016706; GO:0031591; GO:0042803; GO:0102524
RAN_DROME,GO:0000054; GO:0000132; GO:0000212; GO:0003924; GO:0005525; GO:0005634; GO:0005635; GO:0005737; GO:0005938; GO:0006606; GO:0006611; GO:0006886; GO:0007346; GO:0032880; GO:0042564; GO:0043243; GO:0046872; GO:0051168; GO:0051292; GO:0051301; GO:1990498
ECHA_MOUSE,GO:0000062; GO:0003857; GO:0003988; GO:0004300; GO:0005739; GO:0005743; GO:0006635; GO:0009410; GO:0016507; GO:0016508; GO:0016509; GO:0032868; GO:0035965; GO:0042645; GO:0044877; GO:0051287; GO:0070403
CCNL1_HUMAN,GO:0000079; GO:0000307; GO:0005634; GO:0006357; GO:0006396; GO:0016538; GO:0016607; GO:0042981; GO:0043484; GO:0046605; GO:0051726
CCNL1_PONAB,GO:0000079; GO:0000307; GO:0006357; GO:0006396; GO:0016538; GO:0016607
TAF10_HUMAN,GO:0000082; GO:0000124; GO:0001673; GO:0001756; GO:0001892; GO:0003677; GO:0005634; GO:0005654; GO:0005669; GO:0005737; GO:0006282; GO:0006352; GO:0006355; GO:0006357; GO:0006366; GO:0006367; GO:0006468; GO:0006915; GO:0016251; GO:0016573; GO:0016578; GO:0019899; GO:0030331; GO:0033276; GO:0035264; GO:0035521; GO:0035522; GO:0036285; GO:0042789; GO:0042802; GO:0043484; GO:0043966; GO:0045893; GO:0048371; GO:0048471; GO:0051101; GO:0051123; GO:0060173; GO:0060261; GO:0070063; GO:0070365; GO:0097550; GO:1905069; GO:1990841
DPOE1_HUMAN,GO:0000082; GO:0000166; GO:0000278; GO:0000731; GO:0003677; GO:0003682; GO:0003887; GO:0005634; GO:0005654; GO:0005886; GO:0006260; GO:0006261; GO:0006272; GO:0006287; GO:0006297; GO:0008270; GO:0008310; GO:0008622; GO:0045004; GO:0048568; GO:0051539
