scaffold	size	LG	start_position	end_position	id_source	peak_location_reanalysis	scaffold_type_reanalysis	peak_location_finemap	scaffold_type_finemap
Lko057S002242	527007	chr1	20199675	20726682	Reanalysis 	70	CI		
Lko057S000967	560851	chr1	20726782	21287633	Reanalysis + 1.1  	70	CI	56.6	peak
Lko057S000846									
Lko057S010045	149139	chr1	20874130	21023269	Reanalysis 	70	CI		
Lko057S002068	2796977	chr1	21023369	23820346	Reanalysis 	70	CI		
Lko057S000662	687638	chr1	21287733	21975371	Reanalysis 	70	CI		
Lko057S017397	200516	chr1	21975471	22175987	Reanalysis 	70	peak		
Lko057S002151	1395659	chr1	22176087	23571746	Reanalysis	70	peak		
Lko057S001056	758619	chr1	23571846	24330465	Reanalysis	70	CI		
Lko057S000559	690333	chr1	24330565	25020898	Reanalysis 	70	CI		
Lko057S001235	1089296	chr1	25020998	26110294	Reanalysis 	70	CI		
Lko057S004771	1242530	chr1	30464729	31707259	SIM			63.2	peak
Lko057S004587	351328	chr1	31707359	32058687	SIM			63.2	peak
Lko057S000494	1453414	chr1	32058787	33512201	SIM + 1.2			63.2	peak
Lko057S003259	310692	chr1	96322965	96633657	1.3			97.2	CI
Lko057S004073	933616	chr1	96633757	97567373	1.3			97.2	CI
Lko057S004233		chr1			1.3			97.2	CI
Lko057S002553		chr1			1.3			97.2	CI
Lko057S001672		chr1			1.3			97.2	CI
Lko057S003531		chr1			1.4			124.5	CI
Lko057S007909	244368	chr1	104703746	104948114	Reanalysis 	198	CI		
Lko057S008178	423118	chr1	104948214	105371332	Reanalysis 	198	CI		
Lko057S001771	488164	chr1	105371432	105859596	Reanalysis + 1.3 	198	CI	97.2	CI
Lko057S002761	1155579	chr1	105859696	107015275	Reanalysis	198	CI		
Lko057S004526	163227	chr1	107015375	107178602	Reanalysis 	198	CI		
Lko057S004214	275699	chr1	107178702	107454401	Reanalysis 	198	CI		
Lko057S003555	218665	chr1	107454501	107673166	Reanalysis 	198	CI		
Lko057S010149	148553	chr1	107673266	107821819	Reanalysis 	198	CI		
Lko057S002518	461772	chr1	107821919	108283691	Reanalysis 	198	CI		
Lko057S003130	528264	chr1	108283791	108812055	Reanalysis 	198	CI		
Lko057S004095	486612	chr1	108812155	109298767	Reanalysis + 1.4 	198	CI	124.5	peak
Lko057S002077	1010103	chr1	109298867	110308970	Reanalysis	198	peak		
Lko057S000502	751431	chr1	110309070	111060501	Reanalysis 	198	CI		
Lko057S001639	164821	chr1	111060601	111225422	Reanalysis 	198	CI		
Lko057S004196	247739	chr1	111225522	111473261	Reanalysis 	198	CI		
Lko057S000625									
Lko057S004286	617641	chr1	111473361	112091002	Reanalysis + 1.4 	198	CI	124.5	CI
Lko057S002276	1325001	chr1	111615486	112940487	Reanalysis 	198	CI		
Lko057S002586	1045372	chr1	112091102	113136474	Reanalysis 	198	CI		
Lko057S004794	370040	chr1	113136574	113506614	Reanalysis	198	CI		
Lko057S000817	1435601	chr1	113506714	114942315	Reanalysis 	198	CI		
Lko057S003438	264073	chr1	114942415	115206488	Reanalysis 	198	CI		
Lko057S007321	226227	chr1	115206588	115432815	Reanalysis 	198	CI		
Lko057S004289	288022	chr2	2405128	2693150	Reanalysis 	165.6	CI		
Lko057S006401	46586	chr2	2693250	2739836	Reanalysis 	165.6	peak		
Lko057S001069	1530803	chr2	2739936	4270739	Reanalysis 	165.6	CI		
Lko057S000063	217608	chr2	4270839	4488447	Reanalysis 	165.6	CI		
Lko057S002172	113921	chr2	4488547	4602468	Reanalysis 	165.6	CI		
Lko057S000482	205675	chr2	4602568	4808243	Reanalysis	165.6	CI		
Lko057S005043	456026	chr2	4808343	5264369	Reanalysis 	165.6	CI		
Lko057S019689	42162	chr2	5264469	5306631	Reanalysis 	165.6	CI		
Lko057S000279	2140604	chr2	38347250	40487854	Reanalysis	165.6	CI		
Lko057S010869	131283	chr2	40487954	40619237	Reanalysis	165.6	CI		
Lko057S003182	692199	chr2	40619337	41311536	Reanalysis 	165.6	CI		
Lko057S001881	886001	chr2	41311636	42197637	Reanalysis 	165.6	CI		
Lko057S002120	608240	chr2	41938809	42547049	Reanalysis 	165.6	CI		
Lko057S005061	150632	chr2	42197737	42348369	Reanalysis 	165.6	CI		
Lko057S000588	2033129	chr2	42348469	44381598	Reanalysis 	165.6	CI		
Lko057S005490	349221	chr2	44381698	44730919	Reanalysis 	165.6	CI		
Lko057S013373	205667	chr2	44731019	44936686	Reanalysis 	165.6	CI		
Lko057S003118	445872	chr2	44936786	45382658	Reanalysis	165.6	CI		
Lko057S003079	218843	chr2	45382758	45601601	Reanalysis	165.6	CI		
Lko057S004663	105842	chr2	45601701	45707543	Reanalysis	165.6	CI		
Lko057S002169	785912	chr2	45707643	46493555	Reanalysis	165.6	CI		
Lko057S004070	505712	chr2	46493655	46999367	Reanalysis	165.6	CI		
Lko057S000624	1106261	chr2	46999467	48105728	Reanalysis	165.6	CI		
Lko057S004769	703394	chr2	48105828	48809222	Reanalysis	165.6	CI		
Lko057S000517	1864117	chr2	48809322	50673439	Reanalysis	165.6	CI		
Lko057S003735	242011	chr2	49255056	49497067	Reanalysis	165.6	CI		
Lko057S000894	548487	chr2	50673539	51222026	Reanalysis 	165.6	CI		
Lko057S000434	413977	chr2	51222126	51636103	Reanalysis	165.6	CI		
Lko057S004579	150323	chr2	51636203	51786526	Reanalysis 	165.6	CI		
Lko057S004045	297699	chr2	51786626	52084325	Reanalysis 	165.6	CI		
Lko057S004890	311852	chr2	52084425	52396277	Reanalysis 	165.6	CI		
Lko057S001171	1250174	chr2	52638488	53888662	Reanalysis	165.6	CI		
Lko057S003168	632885	chr2	53888762	54521647	Reanalysis 	165.6	CI		
Lko057S004566	224432	chr2	54521747	54746179	Reanalysis 	165.6	CI		
Lko057S008633	320272	chr2	54746279	55066551	Reanalysis 	165.6	CI		
Lko057S000230	1491879	chr2	55066651	56558530	Reanalysis	165.6	CI		
Lko057S005289	556549	chr2	56558630	57115179	Reanalysis	165.6	CI		
Lko057S004609	222791	chr2	57115279	57338070	Reanalysis 	165.6	CI		
Lko057S001532	370137	chr2	57338170	57708307	Reanalysis	165.6	CI		
Lko057S002877	170050	chr2	57708407	57878457	Reanalysis	165.6	CI		
Lko057S002456	367839	chr2	57878557	58246396	Reanalysis 	165.6	CI		
Lko057S004212	733141	chr2	58246496	58979637	Reanalysis	165.6	CI		
Lko057S006692	87514	chr2	58979737	59067251	Reanalysis 	165.6	CI		
Lko057S000045	278944	chr2	59067351	59346295	Reanalysis 	165.6	CI		
Lko057S000138	764010	chr2	59954735	60718745	Reanalysis 	165.6	peak		
Lko057S002774	1449513	chr3	46259452	47708965	Reanalysis 	3@86.3	CI		
Lko057S000726	1950601	chr3	47709065	49659666	Reanalysis	3@86.3	CI		
Lko057S000454	2212256	chr3	49659766	51872022	Reanalysis 	3@86.3	CI		
Lko057S000749	219417	chr3	51872122	52091539	Reanalysis 	3@86.3	CI		
Lko057S002699	1021264	chr3	52091639	53112903	Reanalysis 	3@86.3	CI		
Lko057S000760	323352	chr3	53113003	53436355	Reanalysis 	3@86.3	CI		
Lko057S000958	259315	chr3	53436455	53695770	Reanalysis 	3@86.3	CI		
Lko057S005261	500493	chr3	53695870	54196363	Reanalysis 	3@86.3	CI		
Lko057S002943	624065	chr3	54196463	54820528	Reanalysis 	3@86.3	CI		
Lko057S000266	1652445	chr3	54820628	56473073	Reanalysis 	3@86.3	CI		
Lko057S002934	589014	chr3	56473173	57062187	Reanalysis 	3@86.3	CI		
Lko057S000500	1509857	chr3	57062287	58572144	Reanalysis 	3@86.3	CI		
Lko057S004672	809258	chr3	58572244	59381502	Reanalysis 	3@86.3	CI		
Lko057S002851	1001151	chr3	59381602	60382753	Reanalysis 	3@86.3	CI		
Lko057S004636	98982	chr3	60382853	60481835	Reanalysis 	3@86.3	CI		
Lko057S001785	863553	chr3	60481935	61345488	Reanalysis 	3@86.3	CI		
Lko057S008204	391936	chr3	61345588	61737524	Reanalysis 	3@86.3	CI		
Lko057S003289	739313	chr3	61737624	62476937	Reanalysis 	3@86.3	CI		
Lko057S005483	362810	chr3	62477037	62839847	Reanalysis 	3@86.3	CI		
Lko057S003072	464646	chr3	62839947	63304593	Reanalysis 	3@86.3	CI		
Lko057S000236	1057387	chr3	63304693	64362080	Reanalysis 	3@86.3	CI		
Lko057S000529	1998667	chr3	64101114	66099781	Reanalysis	3@86.3	peak		
Lko057S002690	746223	chr4	58536742	59282965	Reanalysis 	4@39	CI		
Lko057S000590	2193211	chr4	59283065	61476276	Reanalysis 	4@39	CI		
Lko057S002090	2025849	chr4	60683147	62708996	Reanalysis	4@39	CI		
Lko057S002870	1347152	chr4	61476376	62823528	Reanalysis	4@39	CI		
Lko057S007758	957048	chr4	62823628	63780676	Reanalysis 	4@39	CI		
Lko057S003875	42633	chr4	63780776	63823409	Reanalysis 	4@39	peak		
Lko057S000745	1588023	chr5	20248991	21837014	Reanalysis	5@31	CI		
Lko057S000227	353191	chr5	21837114	22190305	Reanalysis 	5@31	CI		
Lko057S002944	593219	chr5	22190405	22783624	Reanalysis 	5@31	CI		
Lko057S002565	246956	chr5	22783724	23030680	Reanalysis	5@31	peak		
